num,name,score,difficulty,rate,url,solution_url,completed,TODO
1,Basics of Sets and Relations #1,5,Easy,90.73%,https://www.hackerrank.com/challenges/basics-of-sets-and-relational-algebra-1,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/01_basicsofsetsandrelations#1.md,0.0,1.0
2,Basics of Sets and Relations #2,5,Easy,97.47%,https://www.hackerrank.com/challenges/basics-of-sets-and-relational-algebra-2,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/02_basicsofsetsandrelations#2.md,0.0,1.0
3,Basics of Sets and Relations #3,5,Easy,97.40%,https://www.hackerrank.com/challenges/basics-of-sets-and-relational-algebra-3/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/03_basicsofsetsandrelations#3.md,0.0,1.0
4,Basics of Sets and Relations #4,5,Easy,96.91%,https://www.hackerrank.com/challenges/basics-of-sets-and-relational-algebra-4/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/04_basicsofsetsandrelations#4.md,0.0,1.0
5,Basics of Sets and Relations #5,5,Easy,97.79%,https://www.hackerrank.com/challenges/basics-of-sets-and-relational-algebra-5/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/05_basicsofsetsandrelations#5.md,0.0,1.0
6,Basics of Sets and Relations #6,5,Easy,97.02%,https://www.hackerrank.com/challenges/basics-of-sets-and-relational-algebra-6/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/06_basicsofsetsandrelations#6.md,0.0,1.0
7,Basics of Sets and Relations #7,5,Easy,98.24%,https://www.hackerrank.com/challenges/basics-of-sets-and-relational-algebra-7/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/07_basicsofsetsandrelations#7.md,0.0,1.0
8,Relational Algebra - 3,2,Multiple Choice Question,67.45%,https://www.hackerrank.com/challenges/relational-algebra-3,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/08_relationalalgebra-3.md,0.0,1.0
9,Relational Algebra - 4,2,Multiple Choice Question,62.69%,https://www.hackerrank.com/challenges/relational-algebra-4,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/09_relationalalgebra-4.md,0.0,1.0
10,Database Query Languages,2,Multiple Choice Question,84.37%,https://www.hackerrank.com/challenges/database-query-languages,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/10_databasequerylanguages.md,0.0,1.0
11,Procedural Language,2,Multiple Choice Question,46.77%,https://www.hackerrank.com/challenges/procedural-language,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/11_procedurallanguage.md,0.0,1.0
12,Relations - 1,2,Multiple Choice Question,68.18%,https://www.hackerrank.com/challenges/relations-1,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/12_relations-1.md,0.0,1.0
13,Relations - 2,2,Multiple Choice Question,74.00%,https://www.hackerrank.com/challenges/relations-2/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/1_relational_algebra/13_relations-2.md,0.0,1.0
