num,name,score,difficulty,rate,url,solution_url,completed,TODO
1,OLAP Performance,5,HardMultiple Choice Question,74.77%,https://www.hackerrank.com/challenges/olap-performance/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/1_olapperformance.md,0.0,1.0
2,OLAP Operations - 1,5,Multiple Choice Question,43.92%,https://www.hackerrank.com/challenges/olap-operations-1,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/2_olapoperations-1.md,0.0,1.0
3,OLAP Operations - 2,5,Multiple Choice Question,65.58%,https://www.hackerrank.com/challenges/olap-operations-2,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/3_olapoperations-2.md,0.0,1.0
4,OLAP Cube Metadata,5,Multiple Choice Question,63.26%,https://www.hackerrank.com/challenges/olap-cube-metadata/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/4_olapcubemetadata.md,0.0,1.0
5,OLAP Name(s),5,Multiple Choice Question,60.87%,https://www.hackerrank.com/challenges/olap-names,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/5_olapname(s).md,0.0,1.0
6,The Total View,5,Multiple Choice Question,55.59%,https://www.hackerrank.com/challenges/the-total-view,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/6_thetotalview.md,0.0,1.0
7,OLAP Operation Types,5,Multiple Choice Question,39.06%,https://www.hackerrank.com/challenges/olap-operation-types-2/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/7_olapoperationtypes.md,0.0,1.0
5,OLAP Name(s),5,Multiple Choice Question,60.87%,https://www.hackerrank.com/challenges/olap-names,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/5_olapname(s).md,0.0,1.0
5,OLAP Name(s),5,Multiple Choice Question,60.87%,https://www.hackerrank.com/challenges/olap-names,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/5_olapname(s).md,0.0,1.0
5,OLAP Name(s),5,Multiple Choice Question,60.87%,https://www.hackerrank.com/challenges/olap-names,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/5_olapname(s).md,0.0,1.0
5,OLAP Name(s),5,Multiple Choice Question,60.87%,https://www.hackerrank.com/challenges/olap-names,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/5_olapname(s).md,0.0,1.0
5,OLAP Name(s),5,Multiple Choice Question,60.87%,https://www.hackerrank.com/challenges/olap-names,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/3_olap/5_olapname(s).md,0.0,1.0
