num,name,score,difficulty,rate,url,solution_url,completed,TODO
01,Map Reduce Advanced - Count number of friends,30,Hard,78.14%,https://www.hackerrank.com/challenges/map-reduce-advanced-count-number-of-friends,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/01_mapreduceadvanced-countnumberoffriends.md",0.0,1.0
02,Map Reduce Advanced - Relational Join,40,Hard,90.48%,https://www.hackerrank.com/challenges/map-reduce-advanced-relational-join,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/02_mapreduceadvanced-relationaljoin.md",0.0,1.0
03,Map Reduce Advanced - Matrix Multiplication,50,Advanced,85.45%,https://www.hackerrank.com/challenges/map-reduce-advanced-matrix-multiplication,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/03_mapreduceadvanced-matrixmultiplication.md",0.0,1.0
04,Querying XML Datastores with XPath - 1,10,Easy,92.46%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-1,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/04_queryingxmldatastoreswithxpath-1.md",0.0,1.0
05,Querying XML Datastores with XPath - 2,10,Easy,96.24%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-1-1,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/05_queryingxmldatastoreswithxpath-2.md",0.0,1.0
06,Querying XML Datastores with XPath - 3,15,Easy,96.86%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-3/problem,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/06_queryingxmldatastoreswithxpath-3.md",0.0,1.0
07,Querying XML Datastores with XPath - 4,15,Easy,97.30%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-4,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/07_queryingxmldatastoreswithxpath-4.md",0.0,1.0
08,Querying XML Datastores with XPath - 5,15,Easy,97.81%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-1-4,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/08_queryingxmldatastoreswithxpath-5.md",0.0,1.0
09,Querying XML Datastores with XPath - 6,15,Easy,97.90%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-6,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/09_queryingxmldatastoreswithxpath-6.md",0.0,1.0
10,Querying XML Datastores with XPath - 7,20,Easy,96.98%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-7,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/10_queryingxmldatastoreswithxpath-7.md",0.0,1.0
11,Querying XML Datastores with XPath - 8,15,Medium,97.28%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-8,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/11_queryingxmldatastoreswithxpath-8.md",0.0,1.0
12,Querying XML Datastores with XPath - 9,15,Hard,97.93%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-9,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/12_queryingxmldatastoreswithxpath-9.md",0.0,1.0
13,Querying XML Datastores with XPath - 10,15,Medium,96.67%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-10,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/13_queryingxmldatastoreswithxpath-10.md",0.0,1.0
14,Querying XML Datastores with XPath - 11,15,Medium,98.10%,https://www.hackerrank.com/challenges/querying-xml-datastores-with-xpath-11,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/5_nosql_-_xml,_mapreduce/14_queryingxmldatastoreswithxpath-11.md",0.0,1.0
