num,name,score,difficulty,rate,url,solution_url,completed,TODO
1,Database Normalization #1 - 1NF,5,Easy,83.01%,https://www.hackerrank.com/challenges/database-normalization-1-1nf/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/01_databasenormalization#1-1nf.md,0.0,1.0
2,Database Normalization #2 - 1/2/3 NF,5,Easy,95.24%,https://www.hackerrank.com/challenges/database-normalization-123nf,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/02_databasenormalization#2-123nf.md,0.0,1.0
3,Database Normalization #3,5,Hard,97.52%,https://www.hackerrank.com/challenges/database-normalization-3/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/03_databasenormalization#3.md,0.0,1.0
4,Database Normalization #4,5,Easy,94.92%,https://www.hackerrank.com/challenges/database-normalization-4/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/04_databasenormalization#4.md,0.0,1.0
5,Database Normalization #5,5,Medium,93.21%,https://www.hackerrank.com/challenges/database-normalization-5/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/05_databasenormalization#5.md,0.0,1.0
6,Database Normalization #6,5,Medium,96.36%,https://www.hackerrank.com/challenges/database-normalization-6,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/06_databasenormalization#6.md,0.0,1.0
07,Database Normalization #7,5,Medium,94.24%,https://www.hackerrank.com/challenges/database-normalization-7,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/07_databasenormalization#7.md,0.0,1.0
08,Database Normalization #8,5,Medium,96.23%,https://www.hackerrank.com/challenges/database-normalization-8/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/08_databasenormalization#8.md,0.0,1.0
09,Database Normalization #9,5,Hard,98.44%,https://www.hackerrank.com/challenges/database-normalization-9,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/09_databasenormalization#9.md,0.0,1.0
10,Database Normalization #10,5,Medium,95.00%,https://www.hackerrank.com/challenges/database-normalization-10/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/databases/6_database_normalization/10_databasenormalization#10.md,0.0,1.0
