num,name,score,difficulty,rate,url,solution_url,completed,TODO
1,Detect Floating Point Number,20,Easy,92.27%,https://www.hackerrank.com/challenges/introduction-to-regex,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/01_detectfloatingpointnumber.py,0,1
2,Re.split(),20,Easy,95.97%,https://www.hackerrank.com/challenges/re-split,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/02_re.split().py,0,1
3,"Group(), Groups() & Groupdict()",20,Easy,92.65%,https://www.hackerrank.com/challenges/re-group-groups,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/03_group()groups()&groupdict().py,0,1
4,Re.findall() & Re.finditer(),20,Easy,90.44%,https://www.hackerrank.com/challenges/re-findall-re-finditer,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/04_re.findall()&re.finditer().py,0,1
5,Re.start() & Re.end(),20,Easy,94.55%,https://www.hackerrank.com/challenges/re-start-re-end,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/05_re.start()&re.end().py,0,1
6,Regex Substitution,20,Medium,93.13%,https://www.hackerrank.com/challenges/re-sub-regex-substitution,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/06_regexsubstitution.py,0,1
7,Validating Roman Numerals,20,Easy,89.65%,https://www.hackerrank.com/challenges/validate-a-roman-number,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/07_validatingromannumerals.py,0,1
8,Validating phone numbers,20,Easy,96.33%,https://www.hackerrank.com/challenges/validating-the-phone-number,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/08_validatingphonenumbers.py,0,1
9,Validating and Parsing Email Addresses,20,Easy,91.28%,https://www.hackerrank.com/challenges/validating-named-email-addresses,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/09_validatingandparsingemailaddresses.py,0,1
10,Hex Color Code,30,Easy,96.36%,https://www.hackerrank.com/challenges/hex-color-code,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/10_hexcolorcode.py,0,1
11,HTML Parser - Part 1,30,Easy,95.29%,https://www.hackerrank.com/challenges/html-parser-part-1,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/11_htmlparser-part1.py,0,1
12,HTML Parser - Part 2,30,Easy,98.49%,https://www.hackerrank.com/challenges/html-parser-part-2/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/12_htmlparser-part2.py,0,1
13,"Detect HTML Tags, Attributes and Attribute Values",30,Easy,97.80%,https://www.hackerrank.com/challenges/detect-html-tags-attributes-and-attribute-values/problem,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/13_detecthtmltags,attributesandattributevalues.py",0,1
14,Validating UID,40,Easy,95.44%,https://www.hackerrank.com/challenges/validating-uid/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/14_validatinguid.py,0,1
15,Validating Credit Card Numbers,40,Medium,94.94%,https://www.hackerrank.com/challenges/validating-credit-card-number/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/15_validatingcreditcardnumbers.py,0,1
16,Validating Postal Codes,80,Hard,86.33%,https://www.hackerrank.com/challenges/validating-postalcode/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/16_validatingpostalcodes.py,0,1
17,Matrix Script,100,Hard,88.67%,https://www.hackerrank.com/challenges/matrix-script/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/17_matrixscript.py,0,1
03,"Group(), Groups() & Groupdict()",20,Easy,92.65%,https://www.hackerrank.com/challenges/re-group-groups,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/03_group()groups()&groupdict().py,0,1
04,Re.findall() & Re.finditer(),20,Easy,90.44%,https://www.hackerrank.com/challenges/re-findall-re-finditer,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/04_re.findall()&re.finditer().py,0,1
05,Re.start() & Re.end(),20,Easy,94.55%,https://www.hackerrank.com/challenges/re-start-re-end,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/13_regex_and_parsing/05_re.start()&re.end().py,0,1
