num,name,score,difficulty,rate,url,solution_url,completed,TODO
1,Revising Aggregations - The Count Function,10,Easy,99.50%,https://www.hackerrank.com/challenges/revising-aggregations-the-count-function,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/01_revisingaggregations-thecountfunction.sql,1,1
2,Revising Aggregations - The Sum Function,10,Easy,99.64%,https://www.hackerrank.com/challenges/revising-aggregations-sum,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/02_revisingaggregations-thesumfunction.sql,1,1
3,Revising Aggregations - Averages,10,Easy,99.80%,https://www.hackerrank.com/challenges/revising-aggregations-the-average-function,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/03_revisingaggregations-averages.sql,1,1
4,Average Population,10,Easy,99.53%,https://www.hackerrank.com/challenges/average-population,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/04_averagepopulation.sql,1,1
5,Japan Population,10,Easy,99.86%,https://www.hackerrank.com/challenges/japan-population,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/05_japanpopulation.sql,1,1
6,Population Density Difference,10,Easy,99.84%,https://www.hackerrank.com/challenges/population-density-difference,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/06_populationdensitydifference.sql,1,1
7,The Blunder,15,Easy,97.83%,https://www.hackerrank.com/challenges/the-blunder,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/07_theblunder.sql,1,1
8,Top Earners,20,Easy,97.90%,https://www.hackerrank.com/challenges/earnings-of-employees/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/08_topearners.sql,1,1
9,Weather Observation Station 2,15,Easy,99.37%,https://www.hackerrank.com/challenges/weather-observation-station-2,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/09_weatherobservationstation2.sql,1,1
10,Weather Observation Station 13,10,Easy,99.49%,https://www.hackerrank.com/challenges/weather-observation-station-13,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/10_weatherobservationstation13.sql,1,1
11,Weather Observation Station 14,10,Easy,99.69%,https://www.hackerrank.com/challenges/weather-observation-station-14,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/11_weatherobservationstation14.sql,1,1
12,Weather Observation Station 15,15,Easy,98.99%,https://www.hackerrank.com/challenges/weather-observation-station-15,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/12_weatherobservationstation15.sql,1,1
13,Weather Observation Station 16,10,Easy,99.77%,https://www.hackerrank.com/challenges/weather-observation-station-16,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/13_weatherobservationstation16.sql,1,1
14,Weather Observation Station 17,15,Easy,99.34%,https://www.hackerrank.com/challenges/weather-observation-station-17,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/14_weatherobservationstation17.sql,1,1
15,Weather Observation Station 18,25,Medium,98.52%,https://www.hackerrank.com/challenges/weather-observation-station-18/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/15_weatherobservationstation18.sql,1,1
16,Weather Observation Station 19,30,Medium,98.44%,https://www.hackerrank.com/challenges/weather-observation-station-19,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/16_weatherobservationstation19.sql,1,1
17,Weather Observation Station 20,40,Medium,96.28%,https://www.hackerrank.com/challenges/weather-observation-station-20,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/sql/3_aggregation/17_weatherobservationstation20.sql,1,1
