num,name,score,difficulty,rate,url,solution_url,completed,TODO
1,"Day 0: Mean, Median, and Mode",30,Easy,87.31%,https://www.hackerrank.com/challenges/s10-basic-statistics/problem,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/01_day0mean,median,andmode.ipynb",1,1
2,Day 0: Weighted Mean,30,Easy,96.78%,https://www.hackerrank.com/challenges/s10-weighted-mean,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/02_day0weightedmean.ipynb,1,1
3,Day 1: Quartiles,30,Easy,91.92%,https://www.hackerrank.com/challenges/s10-quartiles,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/03_day1quartiles.ipynb,1,1
4,Day 1: Interquartile Range,30,Easy,93.87%,https://www.hackerrank.com/challenges/s10-interquartile-range,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/04_day1interquartilerange.ipynb,1,1
5,Day 1: Standard Deviation,30,Easy,98.77%,https://www.hackerrank.com/challenges/s10-standard-deviation/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/05_day1standarddeviation.ipynb,1,1
6,Day 2: Basic Probability,10,Multiple Choice Question,69.72%,https://www.hackerrank.com/challenges/s10-mcq-1/tutorial,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/06_day2basicprobability.ipynb,1,1
7,Day 2: More Dice,10,Multiple Choice Question,84.17%,https://www.hackerrank.com/challenges/s10-mcq-2/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/07_day2moredice.ipynb,1,1
8,Day 2: Compound Event Probability,10,Multiple Choice Question,78.13%,https://www.hackerrank.com/challenges/s10-mcq-3/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/08_day2compoundeventprobability.ipynb,1,1
9,Day 3: Conditional Probability,10,Multiple Choice Question,49.26%,https://www.hackerrank.com/challenges/s10-mcq-4/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/09_day3conditionalprobability.ipynb,1,1
10,Day 3: Cards of the Same Suit,10,Multiple Choice Question,84.13%,https://www.hackerrank.com/challenges/s10-mcq-5/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/10_day3cardsofthesamesuit.ipynb,1,1
11,Day 3: Drawing Marbles,10,Multiple Choice Question,87.66%,https://www.hackerrank.com/challenges/s10-mcq-6/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/11_day3drawingmarbles.ipynb,1,1
12,Day 4: Binomial Distribution I,30,Easy,93.65%,https://www.hackerrank.com/challenges/s10-binomial-distribution-1/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/12_day4binomialdistributioni.ipynb,1,1
13,Day 4: Binomial Distribution II,30,Easy,97.65%,https://www.hackerrank.com/challenges/s10-binomial-distribution-2/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/13_day4binomialdistributionii.ipynb,1,1
14,Day 4: Geometric Distribution I,30,Easy,98.76%,https://www.hackerrank.com/challenges/s10-geometric-distribution-1/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/14_day4geometricdistributioni.ipynb,1,1
15,Day 4: Geometric Distribution II,30,Easy,97.54%,https://www.hackerrank.com/challenges/s10-geometric-distribution-2/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/15_day4geometricdistributionii.ipynb,1,1
16,Day 5: Poisson Distribution I,30,Easy,98.77%,https://www.hackerrank.com/challenges/s10-poisson-distribution-1/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/16_day5poissondistributioni.ipynb,1,1
17,Day 5: Poisson Distribution II,30,Easy,97.66%,https://www.hackerrank.com/challenges/s10-poisson-distribution-2/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/17_day5poissondistributionii.ipynb,1,1
18,Day 5: Normal Distribution I,30,Easy,95.55%,https://www.hackerrank.com/challenges/s10-normal-distribution-1/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/18_day5normaldistributioni.ipynb,1,1
19,Day 5: Normal Distribution II,30,Easy,97.93%,https://www.hackerrank.com/challenges/s10-normal-distribution-2/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/19_day5normaldistributionii.ipynb,1,1
20,Day 6: The Central Limit Theorem I,30,Easy,97.12%,https://www.hackerrank.com/challenges/s10-the-central-limit-theorem-1/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/20_day6thecentrallimittheoremi.ipynb,1,1
21,Day 6: The Central Limit Theorem II,30,Easy,98.84%,https://www.hackerrank.com/challenges/s10-the-central-limit-theorem-2/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/21_day6thecentrallimittheoremii.ipynb,1,1
22,Day 6: The Central Limit Theorem III,30,Easy,97.88%,https://www.hackerrank.com/challenges/s10-the-central-limit-theorem-3/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/22_day6thecentrallimittheoremiii.ipynb,1,1
23,Day 7: Pearson Correlation Coefficient I,30,Easy,98.61%,https://www.hackerrank.com/challenges/s10-pearson-correlation-coefficient/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/statistics/10_days/23_day7pearsoncorrelationcoefficienti.ipynb,1,1
